area,latitude,longitude,node_id
CA,35.294502,-118.854003,2C559EQ2_7_N001
CA,37.632663,-121.785728,ADCC_2_N001
CA,37.74,-121.48,AEC300_1_N001
CA,37.51,-121.84,AGNEW_1_N003
CA,34.0426047,-117.3627072,AGUAMNSA_7_B1
CA,36.65,-119.54,AIRPROD_1_N001
CA,33.771584,-118.100596,ALAMITOS_2_N001
CA,33.77,-118.1,ALAMITOS_2_N040
CA,38.575917021,-121.49784565,ALAMOSC_7_N001
CA,33.771583999952796,-118.10048775137712,ALAMT1G_7_B1
CA,33.77149401717401,-118.1004877514908,ALAMT1G_7_N002
CA,33.77143038978412,-118.10056429476926,ALAMT2G_7_B1
CA,33.771415173499584,-118.10067098425147,ALAMT2G_7_N002
CA,33.765977986588545,-118.103663,ALAMT3G_7_B1
CA,33.77144633917227,-118.10077253262283,ALAMT3G_7_N002
CA,33.76589700669301,-118.10360675930583,ALAMT4G_7_B1
CA,33.771511965310076,-118.10084659342048,ALAMT4G_7_N002
CA,33.76589700669301,-118.10371924069416,ALAMT5G_7_B1
CA,33.771597006833865,-118.1008819712055,ALAMT5G_7_N002
CA,33.771686855225234,-118.1008760572907,ALAMT6G_7_B1
CA,33.77176916262267,-118.10083231072662,ALAMT6G_7_N002
CA,37.99408491213452,-122.13031187359671,ALHAMBRA_1_N001
CA,37.99408491213452,-122.1304265331093,ALHAMBRA_1_N002
CA,39.4648933361067,-120.84494561514,ALLEGHNY_6_N001
CA,37.2602695733053,-121.890081944069,ALMADEN_6_N001
CA,37.788781,-122.289418,ALMDACT1_7_B1
CA,38.72860599998584,-121.30288146337323,ALMDACT2_7_B1
CA,35.9634104978265,-119.456796369046,ALPAUGH_1_N001
CA,32.82778349782751,-116.7898725392576,ALPINE_6_N001
CA,32.82778349782751,-116.7899791114364,ALPINE_6_N005
CA,34.86020621378198,-116.853187,ALTA1G_7_B1
CA,34.8598483,-116.8632389,ALTA2G_7_B1
CA,34.87,-116.84,ALTA30ST_7_B1
CA,34.87,-116.88,ALTA31GT_7_B1
CA,34.87,-116.86,ALTA40ST_7_B1
CA,34.87,-116.85,ALTA41GT_7_B1
CA,35.034468999987546,-118.28400189198645,ALTA6B2_7_N003
CA,35.034468999987546,-118.28411210801355,ALTA6E2_7_N002
CA,35.038348999987576,-118.29271189112849,ALTAD1_7_N006
CA,35.038348999987576,-118.2928221088715,ALTAD2_7_N006
CA,38.728606,-122.289418,ALTMMDW_2_N001
CA,37.89825274815653,-122.52430307671078,ALTO_6_N001
CA,37.89825274815653,-122.52441763899122,ALTO_6_N101
CA,33.9,-116.58,ALTWIND_1_N001
CA,38.43,-121.79,AMERIGAS_1_N001
CA,37.41750982814517,-122.066192315811,AMESBS_1_N004
CA,37.41742849800363,-122.0661331944221,AMESBS_1_N101
CA,37.41742849800363,-122.06625143719991,AMESDST_1_N001
CA,38.36919239614644,-120.79657772898304,AMFORST_6_N001
CA,36.269444,-119.648333,AMSTGSW_6_N004
CA,33.8531627,-117.857995,ANAHEIMG_7_B1
CA,40.4498383482971,-122.305067956776,ANDERSON_6_N001
CA,35.9920069807201,-119.571369635805,ANGIOLA_6_N001
CA,39.8110468352768,-121.919760761225,ANITA_6_N001
CA,38.6803150610646,-123.31178228924,ANNAPOLS_6_N001
CA,35.6581167628678,-119.996015367266,ANTELOPE_6_N001
CA,38.0135190314611,-121.816511987914,ANTIOCH_6_N001
CA,40.8935813873049,-122.379244437145,ANTLER_6_N001
CA,38.739925711625645,-120.67700085097711,APPLEHL_1_N001
CA,38.73974618801998,-120.6770008512664,APPLEHL_1_N002
CA,38.73974618801998,-120.67723101077159,APPLEHL_1_N004
CA,37.359999999986435,-121.97994317305394,APPMAT_1_N001
CA,37.359999999986435,-121.98005682694607,APPMAT_1_N010
CA,39.480833,-121.562222,APTORVC_6_N002
CA,39.0176249119657,-122.061575049795,ARBUCKLE_6_N001
CA,35.12178,-118.388974,ARBWIND_6_N001
CA,40.8671323301478,-124.088285942134,ARCATA_6_N001
CA,33.821111,-118.241667,ARCO1G_7_B1
CA,33.021163152552,-117.134204992561,ARTESN_6_N001
CA,35.150445968047926,-118.87870332041193,ARVINED_1_N001
CA,35.150445968047926,-118.87881358066608,ARVIN_6_N001
